,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SR NO,MODEL NAME,Provider,Type,Duration (Seconds),Resolution (Upto),Aspect Ratio,PRICE TO PAY (per image),OVER CHARGE (per image),USER COST (per image),Credit per generation,Column 1,"PLAN A (12,360)","PLAN B (24,720)","PLAN C (61,800)","PLAN D (197,760)",FREE (2000),Max Amount
80,Seedance 1.0 Pro,Replicate,T2V/I2V,10,1080p,,1.5,0.03,1.53,3060,,4.039215686,8.078431373,20.19607843,64.62745098,0.6535947712,
81,Seedance 1.0 Lite,Replicate,T2V/I2V,5,480p,,0.09,0.01,0.1,200,,61.8,123.6,309,988.8,10,
82,Seedance 1.0 Lite,Replicate,T2V/I2V,5,720p,,0.18,0.01,0.19,380,,32.52631579,65.05263158,162.6315789,520.4210526,5.263157895,
83,Seedance 1.0 Lite,Replicate,T2V/I2V,5,1080p,,0.36,0.01,0.37,740,,16.7027027,33.40540541,83.51351351,267.2432432,2.702702703,
84,Seedance 1.0 Lite,Replicate,T2V/I2V,10,480p,,0.18,0.01,0.19,380,,32.52631579,65.05263158,162.6315789,520.4210526,5.263157895,
85,Seedance 1.0 Lite,Replicate,T2V/I2V,10,720p,,0.36,0.01,0.37,740,,16.7027027,33.40540541,83.51351351,267.2432432,2.702702703,
86,Seedance 1.0 Lite,Replicate,T2V/I2V,10,1080p,,0.72,0.01,0.73,1460,,8.465753425,16.93150685,42.32876712,135.4520548,1.369863014,
87,PixVerse 5,Replicate,T2V/I2V,5,360p,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
88,PixVerse 5,Replicate,T2V/I2V,5,540p,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
89,PixVerse 5,Replicate,T2V/I2V,5,720p,,0.8,0.03,0.83,1660,,7.445783133,14.89156627,37.22891566,119.1325301,1.204819277,
90,PixVerse 5,Replicate,T2V/I2V,5,1080p,,0.8,0.03,0.83,1660,,7.445783133,14.89156627,37.22891566,119.1325301,1.204819277,
91,PixVerse 5,Replicate,T2V/I2V,8,360p,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
92,PixVerse 5,Replicate,T2V/I2V,8,540p,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
93,PixVerse 5,Replicate,T2V/I2V,8,720p,,0.8,0.03,0.83,1660,,7.445783133,14.89156627,37.22891566,119.1325301,1.204819277,
94,PixVerse 5,Replicate,T2V/I2V,8,1080p,,1.6,0.03,1.63,3260,,3.791411043,7.582822086,18.95705521,60.66257669,0.6134969325,
95,Wan 2.5,https://bailian.console.aliyun.com/,T2V/I2V,5,480p,,0.21,0.03,0.24,480,,25.75,51.5,128.75,412,4.166666667,
96,Wan 2.5,https://bailian.console.aliyun.com/,T2V/I2V,5,720p,,0.42,0.03,0.45,900,,13.73333333,27.46666667,68.66666667,219.7333333,2.222222222,
97,Wan 2.5,https://bailian.console.aliyun.com/,T2V/I2V,5,1080p,,0.7,0.03,0.73,1460,,8.465753425,16.93150685,42.32876712,135.4520548,1.369863014,
98,Wan 2.5,https://bailian.console.aliyun.com/,T2V/I2V,10,480p,,0.42,0.03,0.45,900,,13.73333333,27.46666667,68.66666667,219.7333333,2.222222222,
99,Wan 2.5,https://bailian.console.aliyun.com/,T2V/I2V,10,720p,,0.84,0.03,0.87,1740,,7.103448276,14.20689655,35.51724138,113.6551724,1.149425287,
100,Wan 2.5,https://bailian.console.aliyun.com/,T2V/I2V,10,1080p,,1.4,0.03,1.43,2860,,4.321678322,8.643356643,21.60839161,69.14685315,0.6993006993,
101,Wan 2.5 Fast,Replicate,T2V/I2V,5,720p,,0.34,0.03,0.37,740,,16.7027027,33.40540541,83.51351351,267.2432432,2.702702703,
102,Wan 2.5 Fast,Replicate,T2V/I2V,5,1080p,,0.51,0.03,0.54,1080,,11.44444444,22.88888889,57.22222222,183.1111111,1.851851852,
103,Wan 2.5 Fast,Replicate,T2V/I2V,10,720p,,0.68,0.03,0.71,1420,,8.704225352,17.4084507,43.52112676,139.2676056,1.408450704,
104,Wan 2.5 Fast,Replicate,T2V/I2V,10,1080p,,1.02,0.03,1.05,2100,,5.885714286,11.77142857,29.42857143,94.17142857,0.9523809524,
105,Wan 2.2,Replicate,S2V,Invalid,Invalid,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
106,Wan 2.2 A14B,Replicate,T2V/I2V,Invalid,480p,,0.4,0.03,0.43,860,,14.37209302,28.74418605,71.86046512,229.9534884,2.325581395,
107,Wan 2.2 A14B,Replicate,T2V/I2V,Invalid,720p,,1,0.03,1.03,2060,,6,12,30,96,0.9708737864,
108,Wan 2.2 Fast,Replicate,T2V/I2V,Invalid,480p,,0.05,0.01,0.06,120,,103,206,515,1648,16.66666667,Videos
109,Wan 2.2 Fast,Replicate,T2V/I2V,Invalid,720p,,0.11,0.01,0.12,240,,51.5,103,257.5,824,8.333333333,
110,Veo 3.1,Fal,T2V,4,,,1.6,0.03,1.63,3260,,3.791411043,7.582822086,18.95705521,60.66257669,0.6134969325,
111,Veo 3.1,Fal,T2V,6,,,2.4,0.03,2.43,4860,,2.543209877,5.086419753,12.71604938,40.69135802,0.4115226337,
